tipo,secretaria,confianca,notas
Saúde,SMS,alta,Atendimento de saúde pública
Vacinação,SMS,alta,Campanhas de imunização
Posto de Saúde,SMS,alta,Infraestrutura SMS
Clínicas da Família (CF),SMS,alta,Unidade básica de saúde
Programas de Saúde,SMS,alta,Programas municipais de saúde
Hospitais (HM),SMS,alta,Rede hospitalar municipal
Arboviroses,SMS,alta,Vigilância arboviroses
Controle de roedores e caramujos,SMS,média,Vigilância sanitária ambiental
Educação,SME,alta,Demandas educacionais
Escola,SME,alta,Infraestrutura escolar
Creche,SME,alta,Atendimento infantil SME
Gestão escolar,SME,alta,Gestão da rede municipal
Assistência Social,SMAS,alta,CRAS/CREAS e benefícios
Cadastro Único,SMAS,alta,Cadastro único e vulnerabilidade — PIC
CadÚnico,SMAS,alta,Alias Cadastro Único
Abrigo,SMAS,alta,Acolhimento social
Atendimento Social,SMAS,alta,Demandas SMAS
Benefícios / Auxílios,SMAS,alta,Benefícios assistenciais
Iluminação Pública,Outros,média,Infraestrutura urbana
Buraco na Via,Outros,média,Conservação de vias
Coleta de Lixo,Outros,média,Limpeza urbana
Árvore,Outros,média,Meio ambiente
Denúncia,Outros,baixa,Pode envolver múltiplas secretarias
Estacionamento irregular,Outros,média,Trânsito e fiscalização
Remoção Gratuita,Outros,média,Serviço urbano
Limpeza de logradouros,Outros,média,COMLURB / conservação
Pavimentação,Outros,média,Infraestrutura viária
Drenagem e Saneamento,Outros,média,Saneamento básico
Ônibus,Outros,média,Transporte público
Manejo Arbóreo,Outros,média,Meio ambiente urbano
Perturbação do sossego,Outros,média,Fiscalização urbana
Semáforo,Outros,média,Trânsito
IPTU,Outros,média,Tributação — não PIC
Coleta domiciliar,Outros,média,Limpeza urbana
Alvará,Outros,média,Licenciamento urbano
Veículo,Outros,média,Trânsito
Multas,Outros,média,Trânsito
Proteção de animais,Outros,média,Vigilância zoosanitária / SMS parcial
Fiscalização de obras,Outros,média,Urbanismo
Danos ao meio ambiente,Outros,média,Meio ambiente
Estrutura de Imóvel,Outros,média,Habitação / urbanismo
Vias públicas,Outros,média,Infraestrutura
Comércio ambulante,Outros,média,Fiscalização
Bilhetagem eletrônica,Outros,média,Transporte
Atendimento ao cidadão,Outros,baixa,Canal genérico 1746
Dívida Ativa,Outros,média,Tributação
Limpeza e manutenção de praças e parques,Outros,média,Espaços públicos
Sinalização Gráfica,Outros,média,Trânsito
Servidor público,Outros,baixa,RH — não PIC
Ouvidoria SMTR,Outros,baixa,Ouvidoria trânsito
Sistema Nacional de Regulação (SISREG),SMS,alta,Regulação saúde
